,,,,,,,,
,Marketing Budget,"€22,000",,Break even MER,3.58,,,
,Contribution Margin / Net Sales,48%,,,,,,
,OpEx,"€15,664",,,,,,
,,,,,,,,
,MER,Revenue,Total Cost,COD,Marketing,OpEx,Net Profit,Net Profit %
,1.5,"€33,000","€54,869","€17,205","€22,000","€15,664","-€21,869",-66.3%
,1.6,"€35,200","€56,016","€18,352","€22,000","€15,664","-€20,816",-59.1%
,1.7,"€37,400","€57,163","€19,499","€22,000","€15,664","-€19,763",-52.8%
,1.8,"€39,600","€58,310","€20,646","€22,000","€15,664","-€18,710",-47.2%
,1.9,"€41,800","€59,457","€21,793","€22,000","€15,664","-€17,657",-42.2%
,2,"€44,000","€60,604","€22,940","€22,000","€15,664","-€16,604",-37.7%
,2.1,"€46,200","€61,751","€24,087","€22,000","€15,664","-€15,551",-33.7%
,2.2,"€48,400","€62,898","€25,234","€22,000","€15,664","-€14,498",-30.0%
,2.3,"€50,600","€64,045","€26,381","€22,000","€15,664","-€13,445",-26.6%
,2.4,"€52,800","€65,192","€27,528","€22,000","€15,664","-€12,392",-23.5%
,2.5,"€55,000","€66,339","€28,675","€22,000","€15,664","-€11,339",-20.6%
,2.6,"€57,200","€67,486","€29,822","€22,000","€15,664","-€10,286",-18.0%
,2.7,"€59,400","€68,633","€30,969","€22,000","€15,664","-€9,233",-15.5%
,2.8,"€61,600","€69,780","€32,116","€22,000","€15,664","-€8,180",-13.3%
,2.9,"€63,800","€70,927","€33,263","€22,000","€15,664","-€7,127",-11.2%
,3,"€66,000","€72,074","€34,410","€22,000","€15,664","-€6,074",-9.2%
,3.1,"€68,200","€73,221","€35,557","€22,000","€15,664","-€5,021",-7.4%
,3.2,"€70,400","€74,368","€36,704","€22,000","€15,664","-€3,968",-5.6%
,3.3,"€72,600","€75,515","€37,851","€22,000","€15,664","-€2,915",-4.0%
,3.4,"€74,800","€76,662","€38,998","€22,000","€15,664","-€1,862",-2.5%
,3.5,"€77,000","€77,809","€40,145","€22,000","€15,664",-€809,-1.1%
,3.6,"€79,200","€78,956","€41,292","€22,000","€15,664",€244,0.3%
,3.7,"€81,400","€80,103","€42,439","€22,000","€15,664","€1,297",1.6%
,3.8,"€83,600","€81,250","€43,586","€22,000","€15,664","€2,350",2.8%
,3.9,"€85,800","€82,397","€44,733","€22,000","€15,664","€3,403",4.0%
,4,"€88,000","€83,544","€45,880","€22,000","€15,664","€4,456",5.1%
,4.1,"€90,200","€84,691","€47,027","€22,000","€15,664","€5,509",6.1%
,4.2,"€92,400","€85,838","€48,174","€22,000","€15,664","€6,562",7.1%
,4.3,"€94,600","€86,985","€49,321","€22,000","€15,664","€7,615",8.0%
,4.4,"€96,800","€88,132","€50,468","€22,000","€15,664","€8,668",9.0%
,4.5,"€99,000","€89,279","€51,615","€22,000","€15,664","€9,721",9.8%
,4.6,"€101,200","€90,426","€52,762","€22,000","€15,664","€10,774",10.6%
,4.7,"€103,400","€91,573","€53,909","€22,000","€15,664","€11,827",11.4%
,4.8,"€105,600","€92,720","€55,057","€22,000","€15,664","€12,880",12.2%
,4.9,"€107,800","€93,867","€56,204","€22,000","€15,664","€13,933",12.9%
,5,"€110,000","€95,014","€57,351","€22,000","€15,664","€14,986",13.6%
,5.1,"€112,200","€96,161","€58,498","€22,000","€15,664","€16,039",14.3%
,5.2,"€114,400","€97,308","€59,645","€22,000","€15,664","€17,092",14.9%
,5.3,"€116,600","€98,455","€60,792","€22,000","€15,664","€18,145",15.6%
,5.4,"€118,800","€99,602","€61,939","€22,000","€15,664","€19,198",16.2%
,5.5,"€121,000","€100,749","€63,086","€22,000","€15,664","€20,251",16.7%
,5.6,"€123,200","€101,896","€64,233","€22,000","€15,664","€21,304",17.3%
,5.7,"€125,400","€103,043","€65,380","€22,000","€15,664","€22,357",17.8%
,5.8,"€127,600","€104,190","€66,527","€22,000","€15,664","€23,410",18.3%
,5.9,"€129,800","€105,337","€67,674","€22,000","€15,664","€24,463",18.8%
,6,"€132,000","€106,484","€68,821","€22,000","€15,664","€25,516",19.3%
,6.1,"€134,200","€107,631","€69,968","€22,000","€15,664","€26,569",19.8%
,6.2,"€136,400","€108,778","€71,115","€22,000","€15,664","€27,622",20.3%
,6.3,"€138,600","€109,925","€72,262","€22,000","€15,664","€28,675",20.7%
,6.4,"€140,800","€111,072","€73,409","€22,000","€15,664","€29,728",21.1%
,6.5,"€143,000","€112,219","€74,556","€22,000","€15,664","€30,781",21.5%
,6.6,"€145,200","€113,366","€75,703","€22,000","€15,664","€31,834",21.9%
,6.7,"€147,400","€114,513","€76,850","€22,000","€15,664","€32,887",22.3%
,6.8,"€149,600","€115,660","€77,997","€22,000","€15,664","€33,940",22.7%
,6.9,"€151,800","€116,807","€79,144","€22,000","€15,664","€34,993",23.1%
,7,"€154,000","€117,954","€80,291","€22,000","€15,664","€36,046",23.4%
,7.1,"€156,200","€119,101","€81,438","€22,000","€15,664","€37,099",23.8%
,7.2,"€158,400","€120,248","€82,585","€22,000","€15,664","€38,152",24.1%
,7.3,"€160,600","€121,395","€83,732","€22,000","€15,664","€39,205",24.4%
,7.4,"€162,800","€122,542","€84,879","€22,000","€15,664","€40,258",24.7%
,7.5,"€165,000","€123,689","€86,026","€22,000","€15,664","€41,311",25.0%
