Celle da compilare 👇,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Day,Total Spend,Total Revenue,New Customer Revenue,Returning Customer Revenue,nCAC,aMER,MER,Meta Spend,Meta Revenue,Meta ROAS,Google Spend,Google Revenue,Google ROAS,TikTok Spend,TikTok Revenue,TikTok ROAS,Pinterest Spend,Pinterest Revenue,Pinterest ROAS
,,,,,,,,,,,,,,,,,,,
"Monday, July 1, 2024",€ 533,"€ 3,976","€ 2,400","€ 1,576",,€ 4.5,7.46,€ 411,"€ 2,420",5.89,€ 80,"€ 1,466",18.33,€ 27,€ 184,6.81,€ 15,€ 137,9.13
"Tuesday, July 2, 2024",€ 523,"€ 3,431",,,,€ 0.0,6.56,€ 408,"€ 1,933",4.74,€ 80,€ 938,11.73,€ 20,€ 78,3.90,€ 15,€ 71,4.73
"Wednesday, July 3, 2024",€ 521,"€ 2,736",,,,€ 0.0,5.25,€ 396,€ 960,2.42,€ 86,€ 995,11.57,€ 24,€ 51,2.13,€ 15,€ 156,10.40
"Thursday, July 4, 2024",€ 489,"€ 2,555",,,,€ 0.0,5.22,€ 392,"€ 1,312",3.35,€ 56,€ 711,12.70,€ 26,€ 35,1.35,€ 15,€ 30,2.00
"Friday, July 5, 2024",€ 511,"€ 2,666",,,,€ 0.0,5.22,€ 395,"€ 1,368",3.46,€ 77,€ 678,8.81,€ 25,€ 137,5.48,€ 14,€ 10,0.71
"Saturday, July 6, 2024",€ 508,"€ 1,595",,,,€ 0.0,3.14,€ 403,€ 840,2.08,€ 68,€ 476,7.00,€ 22,€ 238,10.82,€ 15,€ 216,14.40
"Sunday, July 7, 2024",€ 567,"€ 2,483",,,,€ 0.0,4.38,€ 448,"€ 1,069",2.39,€ 80,"€ 1,025",12.81,€ 24,€ 104,4.33,€ 15,€ 90,6.00
"Monday, July 8, 2024",€ 563,"€ 3,455",,,,€ 0.0,6.14,€ 435,"€ 1,937",4.45,€ 87,"€ 1,144",13.15,€ 27,€ 327,12.11,€ 14,€ 20,1.43
"Tuesday, July 9, 2024",€ 553,"€ 3,826",,,,€ 0.0,6.92,€ 421,"€ 1,779",4.23,€ 90,"€ 1,198",13.31,€ 27,€ 171,6.33,€ 15,€ 138,9.20
"Wednesday, July 10, 2024",€ 513,"€ 2,121",,,,€ 0.0,4.14,€ 413,"€ 1,262",3.06,€ 66,€ 738,11.10,€ 18,€ 95,5.28,€ 15,€ 0,0.00
"Thursday, July 11, 2024",€ 500,"€ 2,636",,,,€ 0.0,5.27,€ 382,"€ 1,410",3.69,€ 82,€ 841,10.22,€ 21,€ 35,1.67,€ 15,€ 0,0.00
"Friday, July 12, 2024",€ 476,"€ 2,711",,,,€ 0.0,5.70,€ 357,"€ 1,309",3.67,€ 76,€ 765,10.07,€ 28,€ 90,3.21,€ 15,€ 0,0.00
"Saturday, July 13, 2024",€ 467,"€ 2,372",,,,€ 0.0,5.08,€ 358,"€ 1,451",4.05,€ 71,€ 451,6.35,€ 23,€ 0,0.00,€ 15,€ 0,0.00
