,Task,Frequency,,,,Note
Budget & Segmentation,Budget & Segmentation,Ogni 72 ore,Weekly,Monthly,90 giorni,Note
,1. Rivedi spesa campagne vs risultati,,,,,
,a. Ci sono campagne pronte per essere scalate? (buone metriche di conversione con una bassa quota di impressioni di ricerca < 65%),FALSE,FALSE,TRUE,FALSE,
,"a. Ci sono campagne che necessitano di ottimizzazioni extra? (metriche di conversione scadenti, ad esempio: nessuna conversione, CPA elevato, ROAS basso) Prendi nota e completa ulteriori ottimizzazioni",FALSE,TRUE,FALSE,FALSE,
,2. Rivedi spesa Adgroup vs risultati,,,,,
,a. Ci sono gruppi di asset che devono essere spostati in una campagna separata? (buone metriche di conversione ma bassa spesa),FALSE,FALSE,TRUE,FALSE,
,"b. Ci sono gruppi di asset che necessitano di ottimizzazioni extra? (metriche di conversione scadenti, ad esempio: nessuna conversione, CPA elevato, ROAS basso) Prendi nota e completa ulteriori ottimizzazioni",FALSE,TRUE,FALSE,FALSE,
Targeting,Targeting per Contenuto e Posizionamenti,,,,,
,3. Controllare il report sui posizionamenti dei tuoi annunci,,,,,
,"a. Rivedi la sezione ""Content & Placements""",FALSE,FALSE,TRUE,FALSE,
,> aggiungi esclusioni per tutti i posizionamenti con spesa elevata e bassa conversione,,,,,
,> aggiungi aggiustamento delle offerte se non utilizzi lo smart bidding,,,,,
,"> Se mostri annunci su siti Web e app non correlati, aggiungili alle esclusioni",,,,,
,4. Risultati per geografia,,,,,
,a. controllare le performance per geografia e aggiungere esclusioni (se necessario),FALSE,FALSE,TRUE,FALSE,
,b. Verificare se ci sono ricerche da località non mirate (ed escludere località),FALSE,FALSE,TRUE,FALSE,
,5. Device results,,,,,
,a. controllare le performance per dispositivo e aggiungere esclusioni (se necessario),FALSE,FALSE,TRUE,FALSE,
,"b. Controlla i segmenti di pubblico aggiunti e aggiungine altri non inclusi nell'elenco di esclusione (Impostazioni gruppo annunci > ""modifica pubblico"")",FALSE,FALSE,TRUE,FALSE,
,6. Revisione del prodotto e del titolo del prodotto (solo per campagne Demand Gen con un feed prodotto associato),,,,,
,a. Identificare i prodotti che non stanno dando i risultati sperati e decidere se escluderli o concentrarli su di essi con ulteriori ottimizzazioni.,FALSE,FALSE,FALSE,TRUE,
