"NORTH STAR FOCUS: MER | TARGETS: MER 5x (ROAS 3x, CAC 18€)",,,,,,,Priority Scoring (1-10),,,,,,
Lista idee,Matrice IS,Fase Funnel,Suggerito da,Responsabile,Status,Pianificazione,(Reach),Impact,Confidence,Ease,ICE Score,Note/Commenti,Asana Link
Definizione Strategia Lancio Q4,Vittorie immediate,,,,Complete,Gennaio,,10,9,7,26,,
"Analisi LTV by product , LTV by first product purchase",Scommesse,,,,Complete,Febbraio,,9,9,7,25,,
Sentiment analysis delle review e competitor per definire angoli di comunicazione,,,,,,,,9,9,6,24,,
Meta Ads - LAL VIP Segments,Bassa priorità,,,,Not Started,,,6,7,10,23,,
Google Ads - Sync Klaviyo Lists & Segments,Massimo Impatto,,,,Complete,,,5,7,10,22,,
Creazione documento Forecast CVO (metriche chiave da raggiungere per scaling),,,,,Complete,,,9,8,5,22,,
Meta Ads - Nuova struttura Testing creativo ABO,,,,,Not Started,,,8,7,7,22,,
Meta Ads - Product Sets per DABA e DPA,Massimo Impatto,,,,In Progress,,,6,6,9,21,,
Meta Ads - ASC Scaling,,,,,Complete,,,7,7,7,21,,
Meta Ads - semplificazione account,,,,,Complete,,,7,7,8,22,,
Meta Ads - struttura retargeting,,,,,Not Started,,,7,8,6,21,,
Google Ads - GMC Shopping Attributes optimisation,,,,,Complete,,,6,7,6,19,,
Meta Ads - Advertorials Test,Scommesse,,,,Complete,,,7,7,4,18,,
Google Ads Search - Campagne Categorie,Scommesse,,,,,,,6,6,5,17,,
Google Ads - LAL Social Audiences,,,,,Not Started,,,3,5,9,17,,
,,,,,Not Started,,,,,,0,,
,,,,,Complete,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Complete,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,In Progress,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Complete,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Complete,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,Not Started,,,,,,0,,
,,,,,,,,,,,0,,
