,FINANCIAL + BUSINESS METRICS,,,,,,,,CLIENT METRICS - NEW CUSTOMERS,,,,,,,,CLIENT METRICS - RETURNING CUSTOMERS,,,,,CHANNEL METRICS,,,,,,,,,,,,,,
,Total Spend ,Total Revenue ,Revenue YoY,Revenue VS BEP,Ordini,MER,MER VS BE,AOV,New Customers,NC Volume %,NC Revenue,NC Revenue %,nCAC,NC Order Value / nCAC,aMER,AOV NC,Returning Customers,RC Volume % (CRR),RC Revenue,RC Revenue % ,AOV RC,Spend Meta,Revenue Meta ,ROAS Meta,Spend Google,Revenue Google ,ROAS Google,Spend TikTok,Revenue TikTok ,ROAS TikTok,Spend Pinterest,Revenue Pinterest,ROAS Pinterest,,DATES,NOTES
Gennaio ,"€9,028","€92,224",7%,102%,1784,10.22,286%,€45,655,37%,"€27,469.83",30%,€13.78,€3.04,3.04,€37,1129,63%,"€64,753.92",70%,€51,,,,,,,,,,,,,,,
Febbraio,"€12,135","€111,866",48%,124%,2036,9.22,258%,€49,829,41%,"€37,232.24",33%,€14.64,€3.07,3.07,€39,1207,59%,"€74,633.85",67%,€55,,,,,,,,,,,,,,,
Marzo,"€15,690","€104,528",19%,116%,1892,6.66,186%,€49,864,46%,"€38,858.23",37%,€18.16,€2.48,2.48,€39,1028,54%,"€65,669.61",63%,€57,,,,,,,,,,,,,,,
Aprile,"€15,911","€111,883",27%,124%,2066,7.03,197%,€49,931,45%,"€39,319.15",35%,€17.09,€2.47,2.47,€39,1135,55%,"€72,563.35",65%,€57,,,,,,,,,,,,,,,
Maggio,"€18,831","€128,010",40%,142%,2240,6.80,190%,€52,923,41%,"€42,908.12",34%,€20.40,€2.28,2.28,€42,1317,59%,"€85,101.64",66%,€59,,,,,,,,,,,,,,,
Giugno,"€17,247","€106,876",29%,119%,1939,6.20,173%,€49,818,42%,"€36,536.98",34%,€21.08,€2.12,2.12,€39,1121,58%,"€70,338.81",66%,€55,,,,,,,,,,,,,,,
Luglio,"€ 16,409","€ 96,552",17%,107%,1806,5.88,165%,€48,637,35%,"€27,085.87",28%,€18.61,€2.3,1.65,€38,1169,65%,"€64,753.92",72%,€53,"€12,911","€49,817",3.86,"€2,286","€23,951",10.48,€746,"€2,915",3.91,€466,"€1,741",3.74,,,
Agosto,,,,,,,,,,,,,€25.00,,,,,,,,,,,,,,,,,,,,,,,
Settembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ottobre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Novembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dicembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL Year,"€105,251","€751,939",27%,119%,13763,7.4,208%,€49,5657,41%,"€249,410",33%,€18.6,"€13,405",2.4,€39,8106,59%,"€497,815",67%,€55,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,2.1,,,,,,,,,,,,,,,,,,,,,
Celle da compilare 👆,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
