,SCENARIO 1,SCENARIO 2,Delta %,SCENARIO 3,Delta %,SCENARIO 4,Delta %,SCENARIO 5,Delta %,Celle da compilare manualmente
Spesa Mensile,"18,000","25,000",38.9%,"35,000",94.4%,"45,000.0",150.0%,"55,000",205.6%,
Fatturato da Ads,"€48,600","€62,500",,"€80,500",,"€76,500",,"€77,000",,
COGS,"€17,010","€21,875",,"€28,175",,"€26,775",,"€26,950",,
Gross profit,"€31,590","€40,625",,"€52,325",,"€49,725",,"€50,050",,
Fee Processore Pagamento,"€1,361","€1,750",,"€2,254",,"€2,142",,"€2,156",,
Costi spedizione,"€1,458","€1,875",,"€2,415",,"€2,295",,"€2,310",,
Costi gestione ordine,"€1,555","€2,000",,"€2,576",,"€2,448",,"€2,464",,
Spesa pubblicitaria,"€18,000","€25,000",,"€35,000",,"€45,000",,"€55,000",,
ROAS target,2.7,2.5,-7.4%,2.3,-14.8%,1.7,-37.0%,1.4,-48.1%,
,,,,,,,,,,
Margin from Ads,"€9,216","€10,000",8.5%,"€10,080",9.4%,"-€2,160",,"-€11,880",,
AOV,€50,€50,0.0%,€50,0.0%,€50,0.0%,€50,0.0%,
Vendite da Ads,€972,"€1,250",,"€1,610",,"€1,530",,"€1,540",,
Vendite Totali,"€2,160","€2,750",,"€3,500",,"€3,600",,"€2,970",,
CPA Ads,€18.5,€20.0,8.0%,€21.7,17.4%,€29.4,58.8%,€35.7,92.9%,
,,,,,,,,,,
MER,6.0,5.5,-8.3%,5.0,-16.7%,4.0,-33.3%,2.7,-55.0%,
Fatturato Totale,"€108,000","€137,500",27.3%,"€175,000",62.0%,"€180,000",66.7%,"€148,500",37.5%,
COGS,"€37,800","€48,125",,"€61,250",,"€63,000",,"€51,975",,
Gross profit,"€70,200","€89,375",,"€113,750",,"€117,000",,"€96,525",,
Fee Processore Pagamento,"€3,024","€3,850",,"€4,900",,"€5,040",,"€4,158",,
Costi spedizione,"€3,240","€4,125",,"€5,250",,"€5,400",,"€4,455",,
Costi gestione ordine,"€3,456","€4,400",,"€5,600",,"€5,760",,"€4,752",,
Contribution Margin ,"€60,480","€77,000",27.3%,"€98,000",62.0%,"€100,800",66.7%,"€83,160",37.5%,
Contribution Margin %,56%,56%,,56%,,56%,,56%,,
Target Margin %,15%,15%,,15%,,15%,,15%,,
Target Net €,"€16,200","€20,625",0,"€26,250",1,"€27,000",€1,"€22,275",0,
nCAC Target (Best Case),€20.5,€20.5,,€20.5,,€20.5,,€20.5,,
