Step,Area,Obiettivo,Prompt / Input
1,Strategy ,Strategy Goals,"Voglio che tu agisca come un Marketing Strategist. Aiutami a creare una strategia di marketing digitale, un concept di una campagna creativa, un piano di distruzione e suggerimenti per la produzione di asset per il brand qui sotto.

Descrizione Brand:

Categoria di prodotto:
"
1,Strategy ,Strategy Goals,"Voglio che tu agisca come un Digital Strategist. Io ti fornirò informazioni su mercato, prodotto e obiettivi e tu mi aiuterai a creare una strategia di marketing suddivisa in questo modo:
- Insights Strategici di mercato
- Strategia per arrivare agli obiettivi
- Dividere gli obiettivi in sub-goals trimestrali
- Definire il target
- Definire il channel mix"
1,Strategy ,SWOT Analysis,"Voglio che tu agisca come un ricercatore di mercato. Fai una SWOT analysis per il prodotto qui sotto. Dividi il testo in paragrafi.

Descrizione Brand:

Categoria di prodotto:
"
1,Strategy ,Insights & Obiettivi,"Voglio che tu agisca come un Digital Strategist. Io ti fornirò informazioni su mercato, prodotto e obiettivi e tu mi aiuterai a creare una strategia di marketing suddivisa in questo modo:

- Insights Strategici di mercato
- Strategia per arrivare agli obiettivi annuali
- Dividere gli obiettivi in sub-goals trimestrali
-Canali di comunicazione

Descrizione Brand: 

Categoria di prodotto: 

Target di mercato: 

Obiettivo di business: "
1,Strategy ,Marketing Plan,"Voglio che tu agisca come un Digital Strategist. Sulla base della strategia proposta precedentemente, definisci un piano di marketing completo, comprensivo di (ma non limitato a):

Messaggio
- Concept creativo delle campagne da lanciare per il brand
- Key Message
- Claim

Distribuzione:
- Potenziali canali di comunicazione e media tradizionali 
- Canali di comunicazione digitali 

Promozione:
- Offerte e incentivi 

Pricing:
- che tipologia di pricing di offrire per prodotti singoli e/o bundle e perché"
1,Strategy ,Marketing Objectives,"
Voglio che tu agisca come un Digital Strategist. Sulla base della strategia definita precedentemente, illustra nel dettaglio come arrivare a centrare l’obiettivo di business entro la fine dell’anno. Indica quali dovranno essere gli obiettivi trimestrali e spiega il perché.

Strategia di marketing:

Obiettivo di business:"
1,Strategy ,Perfezionare gli obiettivi ,"In base alle considerazioni precedenti:
- Dai un punteggio da 1 a 10 rispetto alla probabilità che questa strategia raggiunga l’obiettivo di business pianificato
- Indica tutti i motivi per cui potenzialmente questa strategia non sarà in grado di raggiungere l’obiettivo di business

Voglio che tu agisca come un analista di mercato. Quali sono le probabilità che questo prodotto raggiunga il product market fit?
Problema di mercato:
Prodotto che risolve il problema:
Target di mercato: 

Valuta con un punteggio da 1 a 10 quanto la mission e il why dell’azienda siano percepiti dal target di mercato:
Mission:
Why:"
1,Strategy ,Fasi Strategia,"Voglio che tu agisca come un Digital Strategis. Aiutami a definire le fasi della strategia di marketing in base al contesto discusso fino ad ora. Definisci un piano strategico che includa i seguenti punti (ma non si limiti ad essi):

- Fase di awareness per costruire la consapevolezza dell’esistenza del nuovo prodotto per il target di  riferimento
- Fase di consideration perché gli utenti possano considerare il prodotto all’interno dei loro brand di riferimento prima dell’acquisto
- Fase di conversion che inviti gli utenti ad acquistare il prodotto 
- Fase di retention che miri a far tornare i clienti esistenti sullo store online per comprare in maniera ricorrente
- Pianificazione di tutte le fasi
- Indicazione delle tempistiche per ogni fase, tenendo conto che il team avrà’ 15 ore di tempo a disposizione alla settimana
- Divisione delle attività’ in milestones e subtasks"
1,Strategy ,"Why, Mission, Valori","Voglio che tu agisca come un Brand Strategist. Sulla base delle informazioni qui sotto, aiutami a definire i seguenti aspetti del brand. Fai la tua migliore ipotesi su quali possano essere e sul perché possono funzionare.

Brand Why:

Mission / Brand Purpose:

Brand Values:"
1,Strategy ,Value Proposition,"Ora voglio che tu agisca come un marketing strategist con più di 10 anni di esperienza.

Voglio applicare la piramide degli elementi del valore di Bain & Company al mio business per migliorare la nostra offerta e soddisfare meglio le esigenze dei nostri clienti. 

Trovi i dettagli di questo framework qui: https://media.bain.com/elements-of-value/


Task: 
Crea una value proposition suscettibile di generare interesse, attrarre clienti qualificati, massimizzare il tasso di conversione sul sito. 

La value proposition deve essere chiara, specifica, rilevante e parlare a un target preciso.

Basandoti sulle informazioni fornite, aiutami ad applicare i vari elementi della piramide degli elementi del valore di Bain & Company per migliorare la mia offerta e soddisfare meglio le esigenze dei miei clienti.


Output:

Step 1: Aiutami a identificare:
- Elementi Funzionali che posso integrare o migliorare nei miei prodotti o servizi.
- Elementi Emotivi che posso enfatizzare per creare una connessione più forte con i miei clienti.
- Elementi di Cambiamento di Vita che posso introdurre per offrire un impatto più profondo e significativo.
- Elementi di Impatto Sociale che posso considerare per contribuire positivamente alla società e migliorare la percezione del mio brand.

Step 2: una volta identificati gli elementi qui sopra, proponi anche:
- una sintesi della migliore value proposition che posso testare per validare il prodotto/servizio
- 3 proposte concise di value proposition da utilizzare nelle headline e subheadlines del sito
- Il segmento target



Contesto:
Ecco alcune informazioni di contesto sul mio business da utilizzare per definire la Value Proposition:

[Tipologia di Business] 

[Descrizione Brand]

[Categoria prodotto e Prodotti Offerti]

[Key Segment]

[Target Market]

[Pain Point] 

[Desideri]"
2,Market Research,Trovare Insights di mercato,"Voglio che tu agisca come un ricercatore di marketing molto esperto. 

Fai una ricerca approfondita della seguente categoria di mercato: 

[DESCRIZIONE CATEGORIA BRAND]

Fornisci tutte le informazioni più rilevanti e impattanti per elaborare una strategia di marketing efficace che riesca a generare fatturato e margini positivi.

Ecco gli aspetti su cui focalizzarsi in termini di ricerca:

- Job: cosa cercano di ottenere i clienti?
- Alternative: quali altre soluzioni hanno utilizzato o preso in considerazione durante il processo?
- Pain Points: quali problemi vogliono risolvere?
- Key Segment: quali informazioni sul cliente sono rilevanti per questa storia?
- Categoria: quali altri elementi appartengono allo stesso gruppo di questo prodotto o servizio?
- Triggers: quali eventi specifici li spingono ad agire?"
2,Market Research,Competitor Overview,"Voglio che tu agisca come un market researcher. Scrivi una lista dei 3 principali competitor nella categoria nominata qui sotto. e inserisci l'URL del loro sito web, instagram, facebook, tiktok, pinterest, linkedin. 

Categoria prodotto:

Target audience:

Target market:
"
2,Market Research,Top benefits by Competitor,Ora analizza i siti web e canali social di ogni brand e definisci i 3 benefici principali del prodotto di ogni brand
2,Market Research,Top USPs by Competitor,Ora fai la tua migliore ipotesi sulle 3 principali unique selling proposition del prodotto di ogni brand. Sii quanto più dettagliato possibile.
2,Market Research,Organizzazione dati,"Ora raggruppa i dati precedenti in una tabella con le seguenti colonne: nome brand, URL sito web, URL instagram, URL tiktok, URL facebook, URL pinterest, URL linkedin, benefici, unique selling proposition"
2,Market Research,Seed Keywords,"Ora fornisci 50 search keywords ad alto intento legate alla categoria di prodotto qui sotto.

Categoria prodotto:

Target audience:

Target market:
"
2,Market Research,Audience Definition,"Voglio che tu agisca come un ricercatore di mercato. Definisci i seguenti aspetti dei potenziali segmenti di mercato target del brand e raggruppa le informazioni in una tabella. 
Per ogni segmento, crea una Audience Persona e raggruppa le informazioni in una tabella dedicata.

- Caratteristiche demografiche
- Occupazione, Hobbies e interessi
- Caratterisitche Psicografiche
- Luoghi di aggregazione offline e online
- Media, Blog e canali più frequentati 


Descrizione brand:

Categoria prodotto:

Target audience:"
2,Market Research,Audience Segmentation,"Adesso indica quale dei segmenti appena identificati ha la maggiore probabilità di successo per il brand e argomenta nei dettagli il perché. Elencali in ordine di priorità. 
Per ogni segmento, indica:
- Grandezza del segmento di mercato potenziale in termini di popolazione 
- Propensione alle spesa
- Grado di percezione del bisogno del prodotto
- Potenziale di profitto 



Descrizione brand:

Categoria prodotto:

Target audience:"
2,Market Research,Analisi Psicografica,"TASK = Genera un profilo più approfondito del mio pubblico in termini psicografici. Deduci qualsiasi informazione che non conosci basandoti su ciò che fai. Usa il template sottostante per il tuo output.

FORMATO = All'interno di ogni sezione del template include punti elenco spartani e succinti del 15%.
Dopo aver fornito l'elenco puntato, fornisci anche le informazioni organizzate in una tabella.

AUDIENCE = #Target Audience#

TEMPLATE =
Nome del Pubblico: (ad es. Madri professioniste amanti della sostenibilità e dei prodotti naturali)
 1. Tratti della Personalità: (Caratteristiche tipiche della personalità del pubblico.)
 2. Interessi: (Hobby o attività che amano? Argomenti di loro interesse?)
 3. Valori: (Principi o credenze a cui il pubblico tiene?)
 4. Attitudini: (Attitudini verso argomenti rilevanti?)
 5. Stile di Vita: (Come il pubblico vive la propria vita quotidiana? Che tipo di lavoro fanno?)
 6. Bisogni e Desideri: (Bisogni e desideri del pubblico? Problemi che stanno cercando di risolvere? Informazioni che stanno cercando?)
 7. Punti Dolenti: (Sfide o ostacoli affrontati? Come aiutare a risolvere questi punti dolenti?)
 8. Comportamento di Consumo dei Contenuti: (Che tipo di contenuto consuma tipicamente il pubblico? A quali titoli o agganci rispondono? Con quali argomenti si impegnano maggiormente?)"
