Inserire il budget totale in basso a destra e aggiornare le % 👇,,Daily Spend,% of Spend,Monthly Spend,Total,,Budget Speso mese,Budget Speso %,Budget rimanente mese,Budget rimanente %,,,
,Meta Ads,,,,,,,,,,,OGGI,5/31/2026
,Prospecting / Testing,€81,24%,"€2,450",Spesa mensile,,€0,0%,"€2,450",24%,,FINE MESE,5/31/2026
,ASC Scaling,€151,44%,"€4,594","€10,412",,€0,0%,"€4,594",44%,,# DAYS LEFT,0
,DABA Prospecting,€40,12%,"€1,225",,,€0,0%,"€1,225",12%,,% MONTH COMPLETION,100.00%
,DPA,€20,6%,€612,,,€0,0%,€612,6%,,,
,Remarketing,€20,6%,€612,,,€0,0%,€612,6%,,,
,Upsell / Cross-sell / Retention,€0,0%,€0,,,€0,0%,€0,0%,,,
,Lead Generation,€20,6%,€612,,,€0,0%,€612,6%,,,
,Engagement ,€10,3%,€306,,,€0,0%,€306,3%,,,
,Totale Meta Ads,€343,100%,"€10,412",50%,,€0,0%,"€10,412",100%,,,
,Google Ads,,,,Spesa mensile,,,,,,,,
,Search Brand,€17,7%,€503,"€6,872",,€0,0%,€503,7%,,,
,Search Non Branded - High Intent,€44,20%,"€1,341",,,€0,0%,"€1,341",20%,,,
,Shopping Branded ,€11,5%,€335,,,€0,0%,€335,5%,,,
,PMax Top Performers,€66,29%,"€2,011",,,€0,0%,"€2,011",29%,,,
,PMax Categoria,€66,29%,"€2,011",,,€0,0%,"€2,011",29%,,,
,Demand Gen Remarketing,€22,10%,€670,,,€0,0%,€670,10%,,,
,Youtube Prospecting ,€0,0%,€0,,,€0,0%,€0,0%,,,
,Totale Google Ads,€226,100%,"€6,872",33%,,€0,0%,"€6,872",100%,,,
,TikTok Ads,,,,Spesa mensile,,,,,,,,
,Prospecting - Web Conversions,€39,57%,"€1,190","€2,082",,€0,0%,"€1,190",57%,,,
,Remarketing - Web Conversions,€20,29%,€595,,,€0,0%,€595,29%,,,
,Engagement ,€10,14%,€297,,,€0,0%,€297,14%,,,
,Totale TikTok Ads,€69,100%,"€2,082",10%,,€0,0%,"€2,082",100%,,,
,Pinterest Ads,,,,Spesa mensile,,,,,,,,
,Prospecting - Website Traffic,€10,20%,€292,"€1,458",,€0,0%,€292,20%,,,
,Prospecting - Website Conversion,€29,60%,€875,,,€0,0%,€875,60%,,,
,Catalogue Sales,€10,20%,€292,,,€0,0%,€292,20%,,,
,Totale Pinterest Ads,€48,100%,"€1,458",7%,,€0,0%,"€1,458",100%,,,
,LinkedIn Ads,,,,Spesa mensile,,,,,,,,
,Prospecting - Website Visits,€0,0%,€0,€0,,€0,0%,€0,0%,,,
,Prospecting - Lead Gen,€0,0%,€0,,,€0,0%,€0,0%,,,
,Remarketing - Website Conversions,€0,0%,€0,,,€0,0%,€0,0%,,,
,Prospecting - Video Views,€0,0%,€0,,,€0,0%,€0,0%,,,
,Prospecting - Engagement,€0,0%,€0,,,€0,0%,€0,0%,,,
,Totale LinkedIn Ads,€0,0%,€0,0%,,€0,0%,€0,0%,,,
,Microsoft Ads,,,,Spesa mensile,,,,,,,,
,Search Brand,€0,0%,€0,€0,,€0,0%,€0,0%,,,
,Search Non Branded - Generic,€0,100%,€0,,,€0,0%,€0,0%,,,
,Display Remarketing,€0,0%,€0,,,€0,0%,€0,0%,,,
,Totale Microsoft Ads,€0,100%,€0,0%,,€0,0%,€0,0%,,,
,TOTAL Monthly,€685,,"€20,824","€20,824",,€0,,"€20,824",,,,
